srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
175.45.176.1,0,149.171.126.12,0,unas,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930769,1421930769,0.005,0.0,0.0,0.0,0.0,0,2,0,0,0,11,11,2,2,2,2,2,Exploits,1
59.166.0.1,45443,149.171.126.6,43530,tcp,FIN,0.069716,2974,33122,31,29,7,18,-,334270.4688,3724826.5,48,50,255,255,3968767728,1848410112,62,662,0,0,82.885944,81.13569,1421942729,1421942729,1.475447,1.412857,0.00065,0.000482,0.000168,0,0,0,0,0,8,4,4,2,1,1,2,0,0
59.166.0.0,34315,149.171.126.7,53,udp,CON,0.0009699999999999999,146,178,31,29,0,0,dns,602061.875,734020.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421947299,1421947299,0.004,0.005,0.0,0.0,0.0,0,0,0,0,0,3,2,1,2,2,1,1,0,0
59.166.0.9,39681,149.171.126.4,8106,tcp,FIN,0.028912,2958,29078,31,29,7,17,-,801604.875,7871057.0,48,46,255,255,3788316899,3815659231,62,632,0,0,0.0,42.116816,1421954122,1421954122,0.6083189999999999,0.629689,0.000717,0.000572,0.000145,0,0,0,0,0,23,6,3,7,1,1,1,0,0
59.166.0.8,7802,149.171.126.8,53,udp,CON,0.001018,146,178,31,29,0,0,dns,573673.875,699410.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421947504,1421947504,0.006,0.002,0.0,0.0,0.0,0,0,0,0,0,1,2,3,3,1,1,1,0,0
59.166.0.8,22128,149.171.126.7,53,udp,CON,0.001016,130,162,31,29,0,0,dns,511811.0,637795.25,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421953713,1421953713,0.01,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0,2,7,4,5,1,1,1,0,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,1.1e-05,114,0,254,0,0,0,dns,41454544.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421932291,1421932291,0.011000000000000001,0.0,0.0,0.0,0.0,0,2,0,0,0,17,17,7,7,7,3,7,Generic,1
59.166.0.1,20936,149.171.126.5,111,udp,CON,0.0047799999999999995,568,320,31,29,0,0,-,712970.6875,401673.625,4,4,0,0,0,0,142,80,0,0,1.753153,1.5282930000000001,1421954289,1421954289,1.243667,1.088667,0.0,0.0,0.0,0,0,0,0,0,5,7,4,12,1,1,3,0,0
59.166.0.5,7845,149.171.126.2,6881,tcp,FIN,0.669037,1540,1644,31,29,4,4,-,17266.60938,18569.97461,16,18,255,255,2523502855,463580687,96,91,0,0,3097.003683,78.150984,1421927523,1421927523,44.557132,39.287531,0.001374,0.001146,0.00022799999999999999,0,0,0,0,0,10,5,5,10,3,1,3,0,0
59.166.0.8,33905,149.171.126.2,40040,tcp,FIN,0.044614,3302,35400,31,29,7,21,-,581162.875,6234456.0,54,56,255,255,3594826348,1461174361,61,632,0,0,56.01858000000001,53.297477,1421936393,1421936394,0.8343209999999999,0.801527,0.000667,0.000526,0.00014099999999999998,0,0,0,0,0,4,9,6,1,1,1,1,0,0
59.166.0.8,38585,149.171.126.6,5190,tcp,FIN,0.004529999999999999,1470,1728,31,29,5,4,-,2479470.25,2834437.0,22,14,255,255,2569182892,2570052045,67,123,0,0,0.0,0.369496,1421927673,1421927673,0.215714,0.291385,0.0007160000000000001,0.000583,0.000133,0,0,0,0,0,5,4,1,4,1,1,1,0,0
59.166.0.7,2508,149.171.126.6,52786,tcp,FIN,0.17179,2958,33060,31,29,7,18,-,134908.8906,1508772.25,48,50,255,255,1261405077,1339739487,62,661,0,0,207.90969199999998,203.919452,1421937918,1421937918,3.6476379999999997,3.494592,0.000695,0.000551,0.000144,0,0,0,0,0,6,5,2,2,1,1,1,0,0
59.166.0.4,12615,149.171.126.0,6881,tcp,FIN,0.646238,13350,548216,31,29,21,197,-,164558.5625,6771065.5,232,438,255,255,3873745882,1727788599,58,1252,0,0,159.89408999999998,104.393197,1421951108,1421951109,2.796186,1.4777069999999999,0.000607,0.00047599999999999997,0.000131,0,0,0,0,0,6,18,9,1,1,1,1,0,0
59.166.0.6,61840,149.171.126.6,21,tcp,FIN,2.040708,2934,3740,31,29,11,15,ftp,11282.3584,14391.08301,52,54,255,255,3303462843,3328463635,56,69,0,0,2703.490397,82.627227,1421945574,1421945576,40.007471,38.493699,0.000686,0.000536,0.00015,0,0,0,1,3,5,5,5,8,5,5,5,0,0
59.166.0.9,26911,149.171.126.6,22,tcp,FIN,1.465804,12472,12924,31,29,17,17,ssh,67097.64844,69439.02344,70,64,255,255,3358481316,3358815602,178,202,0,0,1179.296741,1234.94761,1421942295,1421942297,21.243536,23.246745999999998,0.001283,0.0011099999999999999,0.000173,0,0,0,0,0,1,1,1,2,1,1,1,0,0
59.166.0.9,39879,149.171.126.8,6881,tcp,FIN,4.437189,12830,548216,31,29,21,197,-,23028.99414,986146.8125,222,438,255,255,3200033439,3245931368,58,1252,0,0,7634.043442,5429.017001,1421944274,1421944279,20.076349,10.152563,0.0008640000000000001,0.000508,0.000356,0,0,0,0,0,9,9,3,2,2,1,2,0,0
59.166.0.4,12082,149.171.126.3,53,udp,CON,0.0010140000000000001,146,178,31,29,0,0,dns,575936.875,702169.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421942913,1421942913,0.01,0.005,0.0,0.0,0.0,0,0,0,0,0,5,6,4,8,2,1,3,0,0
59.166.0.2,53306,149.171.126.0,30680,tcp,FIN,0.006268,4400,2456,31,29,7,7,-,5304403.0,2961072.0,18,18,255,255,3629446902,3632660684,244,136,0,0,18.045329000000002,0.398117,1421949443,1421949443,0.349765,0.295941,0.001411,0.001233,0.000178,0,0,0,0,0,12,8,4,6,1,1,3,0,0
59.166.0.1,1157,149.171.126.9,22,tcp,FIN,0.083397,12648,13306,31,29,35,33,ssh,1203688.375,1266328.5,126,126,255,255,2167586776,18312850,100,106,0,0,173.258776,175.274093,1421928964,1421928964,0.667176,0.660632,0.000779,0.000621,0.00015800000000000002,0,0,0,0,0,2,2,2,6,1,1,1,0,0
59.166.0.0,32288,149.171.126.6,25,tcp,FIN,0.049581,37208,3380,31,29,18,8,smtp,5888223.5,532462.0625,52,42,255,255,274626281,275658850,716,80,0,0,60.065614000000004,2.6831,1421951206,1421951206,0.965392,1.196756,0.00064,0.000509,0.000131,0,0,0,0,0,1,2,2,3,1,1,2,0,0
59.166.0.0,41985,149.171.126.0,53,udp,CON,0.001117,146,178,31,29,0,0,dns,522829.0,637421.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421930637,1421930637,0.036000000000000004,0.001,0.0,0.0,0.0,0,0,0,0,0,3,4,6,2,1,1,1,0,0
59.166.0.4,27424,149.171.126.6,53,udp,CON,0.0011070000000000001,146,178,31,29,0,0,-,527551.9375,643179.75,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421934568,1421934568,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0,13,11,4,2,2,1,1,0,0
59.166.0.0,19526,149.171.126.7,17698,tcp,FIN,0.014005000000000002,2542,23154,31,29,7,14,-,1416065.75,12911389.0,40,42,255,255,4123344357,4123663014,64,551,0,0,19.923796,18.458767,1421953034,1421953034,0.35065799999999997,0.326317,0.000752,0.000615,0.00013700000000000002,0,0,0,0,0,5,6,3,5,1,1,2,0,0
59.166.0.8,20609,149.171.126.1,111,udp,CON,0.507278,568,304,31,29,0,0,-,6718.209473000001,3595.6613770000004,4,4,0,0,0,0,142,76,0,0,201.75831200000002,231.877281,1421945096,1421945097,142.670672,163.967,0.0,0.0,0.0,0,0,0,0,0,24,22,22,24,5,3,9,0,0
59.166.0.0,24777,149.171.126.2,59374,tcp,FIN,0.004965,3968,2456,31,29,7,7,-,6039073.5,3738167.25,18,18,255,255,1499487085,3652429623,220,136,0,0,13.514456,0.345902,1421940234,1421940234,0.273471,0.258,0.00073,0.000575,0.000155,0,0,0,0,0,8,16,3,3,1,1,3,0,0
59.166.0.4,23254,149.171.126.6,20656,tcp,FIN,0.032841,2750,27620,31,29,7,16,-,654791.25,6582016.0,44,46,255,255,45600320,45919441,63,600,0,0,60.121149,55.117075,1421932815,1421932816,0.756163,0.7168439999999999,0.000727,0.000572,0.000155,0,0,0,0,0,11,7,4,3,1,1,1,0,0
59.166.0.3,49235,149.171.126.5,53,udp,CON,0.001082,146,178,31,29,0,0,dns,539741.25,658040.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421937578,1421937578,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,1,3,5,1,1,1,1,0,0
175.45.176.0,10338,149.171.126.14,80,tcp,FIN,0.701522,830,1078,62,252,2,2,-,8518.621094,10765.16504,10,8,255,255,3437315191,2074614165,83,135,0,0,4082.2343939999996,103.95138299999999,1421932911,1421932912,77.849222,82.624859,0.20134000000000002,0.12313699999999998,0.078203,0,1,0,0,0,6,5,1,2,1,1,1,0,0
59.166.0.7,6295,149.171.126.1,80,tcp,CON,0.195352,424,8896,31,29,1,4,-,15193.08691,327900.4063,8,10,255,255,2392724094,248333298,53,890,0,0,1697.7269170000002,1471.366772,1421952347,1421952348,27.907428999999997,21.608222,0.00066,0.000534,0.000126,0,0,0,0,0,14,9,4,5,1,1,4,0,0
59.166.0.3,45314,149.171.126.9,43123,tcp,FIN,0.012222,2438,19266,31,29,7,13,-,1553919.125,12295860.0,38,40,255,255,1210717788,3381643528,64,482,0,0,17.121657,17.38847,1421927918,1421927918,0.32027,0.298923,0.000695,0.0005610000000000001,0.000134,0,0,0,0,0,6,3,1,4,1,1,1,0,0
59.166.0.6,12947,149.171.126.3,5190,tcp,FIN,1.308029,4908,2448,31,29,9,6,-,29136.9668,14397.2334,34,26,255,255,1788782015,3934493877,144,94,0,0,3416.44392,112.61826599999999,1421936251,1421936252,39.637242,52.29032,0.000749,0.000614,0.000135,0,0,0,0,0,1,6,6,1,1,1,1,0,0
59.166.0.1,12213,149.171.126.0,41201,tcp,FIN,0.018987999999999998,2334,16364,31,29,7,12,-,956393.5,6713292.5,36,38,255,255,86581719,2232233339,65,431,0,0,35.491157,34.220969000000004,1421942333,1421942333,0.5332859999999999,0.49786499999999995,0.0007019999999999999,0.0005639999999999999,0.000138,0,0,0,0,0,13,10,4,6,1,1,1,0,0
59.166.0.0,8180,149.171.126.0,4856,udp,CON,0.0017739999999999998,528,304,31,29,0,0,-,1785794.75,1028184.875,4,4,0,0,0,0,132,76,0,0,0.630267,0.321973,1421947515,1421947515,0.449667,0.23466700000000001,0.0,0.0,0.0,0,0,0,0,0,10,11,6,4,1,1,3,0,0
59.166.0.6,13228,149.171.126.6,6881,tcp,FIN,6.50264,22390,954154,31,29,33,340,-,27476.8418,1172298.0,398,748,255,255,3878825563,1734323717,56,1276,0,0,6191.887731,4514.610497,1421935256,1421935262,16.378483,8.704424000000001,0.00053,0.00043099999999999996,9.9e-05,0,0,0,0,0,9,5,2,11,8,1,2,0,0
59.166.0.0,24220,149.171.126.4,80,tcp,FIN,1.061261,1684,10168,31,29,3,5,http,11789.74805,72396.89063,14,18,255,255,1827264674,3978320202,120,565,1,3924,8775.046871999999,7686.718564,1421940843,1421940844,81.606613,62.394,0.000696,0.000554,0.00014199999999999998,0,0,1,0,0,2,3,2,1,1,1,1,0,0
59.166.0.0,54258,149.171.126.2,50446,tcp,FIN,0.175698,4862,77300,31,29,7,36,-,218784.5156,3478787.5,84,86,255,255,3552508430,3631506013,58,899,0,0,0.0,114.29614299999999,1421943724,1421943724,2.112699,2.060023,0.000729,0.000593,0.000136,0,0,0,0,0,8,5,2,5,1,1,1,0,0
59.166.0.5,28147,149.171.126.6,6881,tcp,FIN,11.50951,36520,1621446,31,29,54,575,-,25345.99609,1126136.5,656,1260,255,255,238414009,242068573,56,1287,0,0,9235.337805,6676.332145,1421941639,1421941650,17.571210999999998,9.141392,0.000625,0.0004940000000000001,0.000131,0,0,0,0,0,3,5,2,2,1,1,1,0,0
59.166.0.5,63473,149.171.126.2,6881,tcp,FIN,2.2217689999999997,13454,548216,31,29,21,197,-,48239.03516,1969475.625,234,438,255,255,3335571142,3345566217,57,1252,0,0,3262.449371,2381.891532,1421950234,1421950236,9.533605999999999,5.0830660000000005,0.000591,0.000465,0.000126,0,0,0,0,0,7,7,3,3,1,1,1,0,0
59.166.0.5,41093,149.171.126.3,80,tcp,FIN,1.014157,1684,10168,31,29,3,5,-,12337.33984,75759.46875,14,18,255,255,1023387133,1024830909,120,565,0,0,8762.677529,7674.610798000001,1421934521,1421934522,77.984462,59.625412,0.000648,0.000517,0.000131,0,0,0,0,0,9,9,1,3,1,1,1,0,0
59.166.0.0,41615,149.171.126.8,53,udp,CON,0.001035,132,164,31,29,0,0,dns,510144.9375,633816.4375,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421935569,1421935569,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,5,3,6,12,3,2,2,0,0
59.166.0.7,61530,149.171.126.2,60349,tcp,FIN,0.005167000000000001,4320,2456,31,29,7,7,-,6317012.0,3592026.25,18,18,255,255,2486392571,2489588505,240,136,0,0,14.121217000000001,0.34416399999999997,1421951138,1421951138,0.283118,0.27517600000000003,0.000618,0.00048499999999999997,0.000133,0,0,0,0,0,7,12,6,6,1,1,3,0,0
59.166.0.2,54952,149.171.126.2,21,tcp,FIN,0.287663,2934,3742,31,29,11,15,ftp,80038.09375,102147.2969,52,54,255,255,4288078880,2143728887,56,69,0,0,807.227175,33.596258,1421931634,1421931635,5.634176,5.417509,0.000663,0.000531,0.000132,0,0,0,1,1,1,2,5,3,1,1,1,0,0
59.166.0.4,2797,149.171.126.0,80,tcp,FIN,1.0307870000000001,1684,10168,31,29,3,5,http,12138.29785,74537.22656,14,18,255,255,222758099,223962409,120,565,1,3924,8779.773022,7707.471394,1421951345,1421951346,79.26215400000001,60.583881999999996,0.001015,0.000857,0.00015800000000000002,0,0,1,0,0,3,2,1,1,1,1,1,0,0
59.166.0.2,53818,149.171.126.1,53,udp,CON,0.001034,146,178,31,29,0,0,dns,564796.9375,688588.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421940582,1421940582,0.011000000000000001,0.01,0.0,0.0,0.0,0,0,0,0,0,5,1,2,4,3,1,1,0,0
175.45.176.3,27687,149.171.126.11,111,udp,INT,1.1e-05,168,0,254,0,0,0,-,61090908.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421934062,1421934062,0.011000000000000001,0.0,0.0,0.0,0.0,0,2,0,0,0,34,34,16,16,1,1,16,Reconnaissance,1
59.166.0.4,4936,149.171.126.7,143,tcp,FIN,0.510774,7814,15098,31,29,30,32,-,121384.4063,234608.6406,122,126,255,255,2636254409,487713901,64,120,0,0,396.704001,393.422221,1421939617,1421939617,4.21824,4.082192,0.0006389999999999999,0.000499,0.00014,0,0,0,0,0,3,5,2,5,1,1,2,0,0
149.171.126.18,1043,175.45.176.1,53,udp,INT,8e-06,264,0,60,0,0,0,dns,132000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1421930993,1421930993,0.008,0.0,0.0,0.0,0.0,0,0,0,0,0,14,14,6,6,6,3,6,0,0
59.166.0.3,56660,149.171.126.3,6881,tcp,FIN,0.014048,1540,1644,31,29,4,4,-,822323.5,884396.375,16,18,255,255,2615536574,472356411,96,91,0,0,64.493225,1.492802,1421930157,1421930157,0.9156,0.798706,0.000597,0.000466,0.000131,0,0,0,0,0,13,14,4,4,2,1,3,0,0
59.166.0.3,29370,149.171.126.9,54285,tcp,FIN,0.015293000000000001,2542,23278,31,29,7,14,-,1296802.375,11887268.0,40,42,255,255,2413848395,2414742335,64,554,0,0,24.469717000000003,24.676188,1421944563,1421944563,0.383077,0.359195,0.0006929999999999999,0.000558,0.000135,0,0,0,0,0,7,3,2,2,1,1,1,0,0
175.45.176.1,0,149.171.126.12,0,argus,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1421930645,1421930645,0.011000000000000001,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,14,15,14,14,14,Exploits,1
175.45.176.2,55699,149.171.126.15,143,tcp,FIN,1.191913,1070,23200,62,252,6,14,-,6826.001465,150849.9375,20,32,255,255,116078948,1637244799,54,725,0,0,3203.489131,2323.436766,1421930591,1421930592,62.732261,34.937614,0.181436,0.10808,0.07335599999999999,0,1,0,0,0,1,7,2,2,1,1,1,Exploits,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,1.1e-05,114,0,254,0,0,0,dns,41454544.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421932093,1421932093,0.011000000000000001,0.0,0.0,0.0,0.0,0,2,0,0,0,13,13,4,4,4,4,4,Generic,1
175.45.176.3,63997,149.171.126.10,1584,tcp,FIN,0.490518,4398,268,254,252,3,1,-,65759.05469,3653.280762,12,6,255,255,1253219017,829899024,367,45,0,0,2390.399573,117.78103899999999,1421933430,1421933430,40.686818,79.755602,0.147484,0.091736,0.055748,0,1,0,0,0,8,4,1,2,1,1,1,DoS,1
175.45.176.1,0,149.171.126.12,0,ipv6-route,INT,4e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930678,1421930678,0.008,0.0,0.0,0.0,0.0,0,2,0,0,0,23,18,8,8,8,8,8,Fuzzers,1
175.45.176.2,63154,149.171.126.12,520,udp,INT,5e-06,1064,0,254,0,0,0,-,851200000.0,0.0,2,0,0,0,0,0,532,0,0,0,0.0,0.0,1421928432,1421928432,0.005,0.0,0.0,0.0,0.0,0,2,0,0,0,4,4,2,2,2,1,2,Fuzzers,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421932221,1421932221,0.004,0.0,0.0,0.0,0.0,0,2,0,0,0,9,9,5,5,5,3,5,Generic,1
175.45.176.2,31006,149.171.126.19,5060,udp,CON,57.06580699999999,95286,117906,254,60,0,0,-,13266.64844,16417.53711,146,148,0,0,0,0,653,797,0,0,474.38028099999997,459.42953099999994,1421931486,1421931543,391.913531,390.062531,0.0,0.0,0.0,0,3,0,0,0,2,2,2,2,2,2,2,DoS,1
175.45.176.1,0,149.171.126.12,0,unas,INT,4e-06,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930735,1421930735,0.011000000000000001,0.0,0.0,0.0,0.0,0,2,0,0,0,11,11,4,8,4,4,4,Fuzzers,1
175.45.176.1,0,149.171.126.12,0,unas,INT,4e-06,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930778,1421930778,0.011000000000000001,0.0,0.0,0.0,0.0,0,2,0,0,0,6,6,4,5,4,4,4,Exploits,1
175.45.176.1,0,149.171.126.12,0,ipip,INT,7.000000000000001e-06,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930704,1421930704,0.011000000000000001,0.0,0.0,0.0,0.0,0,2,0,0,0,8,9,4,4,4,4,4,Backdoors,1
175.45.176.1,0,149.171.126.12,0,unas,INT,1e-05,200,0,254,0,0,0,-,400000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930728,1421930728,0.002,0.0,0.0,0.0,0.0,0,2,0,0,0,15,14,4,9,4,4,4,DoS,1
175.45.176.0,19025,149.171.126.19,179,tcp,FIN,0.48634700000000003,546,268,254,252,2,1,-,8092.987305,3684.612061,10,6,255,255,369439819,856032718,55,45,0,0,2582.298946,108.590414,1421929514,1421929515,50.447889,75.347398,0.175015,0.109606,0.06540900000000001,0,1,0,0,0,7,7,2,2,2,1,2,Fuzzers,1
175.45.176.1,37560,149.171.126.11,69,udp,INT,4e-06,92,0,254,0,0,0,-,92000000.0,0.0,2,0,0,0,0,0,46,0,0,0,0.0,0.0,1421927836,1421927836,0.004,0.0,0.0,0.0,0.0,0,2,0,0,0,1,1,1,1,1,1,1,Generic,1
175.45.176.2,54429,149.171.126.18,520,udp,INT,1e-05,104,0,254,0,0,0,-,41600000.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1421933157,1421933157,0.01,0.0,0.0,0.0,0.0,0,2,0,0,0,4,4,2,2,1,1,1,Fuzzers,1
175.45.176.1,13394,149.171.126.10,80,tcp,FIN,0.241646,1120,22518,62,252,2,9,-,34000.14844,711619.4375,12,22,255,255,3437984772,1750789513,93,1024,0,0,1141.735173,1179.905476,1421934252,1421934253,21.967819,11.152619999999999,0.051989,0.006412999999999999,0.045576,0,1,0,0,0,1,2,1,1,1,1,1,Generic,1
175.45.176.2,33436,149.171.126.17,111,udp,INT,1.1e-05,168,0,254,0,0,0,-,61090908.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421928030,1421928030,0.011000000000000001,0.0,0.0,0.0,0.0,0,2,0,0,0,4,1,1,2,1,1,1,Reconnaissance,1
175.45.176.2,46087,149.171.126.18,63619,tcp,FIN,0.581284,364,8656,62,252,1,4,ftp-data,4390.280761999999,109206.5156,8,12,255,255,2882337054,3034150013,46,721,0,0,5280.869971,4234.334244,1421930218,1421930218,83.04056899999999,46.690545,0.09059500000000001,0.045114,0.045481,0,1,0,0,0,1,1,2,2,1,1,2,Exploits,1
175.45.176.1,0,149.171.126.12,0,unas,INT,7.000000000000001e-06,200,0,254,0,0,0,-,114285712.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930753,1421930753,0.006999999999999999,0.0,0.0,0.0,0.0,0,2,0,0,0,11,11,5,5,4,4,5,Exploits,1
175.45.176.1,0,149.171.126.12,0,unas,INT,4e-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930746,1421930746,0.004,0.0,0.0,0.0,0.0,0,2,0,0,0,10,10,3,3,2,2,2,Fuzzers,1
175.45.176.2,36776,149.171.126.10,25,tcp,FIN,0.960592,82366,2022,62,252,36,8,smtp,677174.125,16239.98535,78,28,255,255,2402836559,2280733273,1056,72,0,0,1058.051363,43.508812,1421927603,1421927604,12.475221000000001,32.817371,0.08590700000000001,0.024602000000000002,0.061305,0,1,0,0,0,1,2,2,1,1,1,1,Exploits,1
175.45.176.1,26536,149.171.126.13,25,tcp,FIN,1.208214,32136,1944,62,252,17,8,smtp,207466.5469,12289.21289,40,22,255,255,2332634318,1309070211,803,88,0,0,2088.738166,63.055504000000006,1421930471,1421930472,30.979845,52.526906000000004,0.12277,0.079567,0.043203,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421931731,1421931731,0.003,0.0,0.0,0.0,0.0,0,2,0,0,0,7,7,2,2,2,2,2,Generic,1
175.45.176.2,52523,149.171.126.11,80,tcp,FIN,1.628403,1206,354,254,252,2,1,http,5335.288574,1522.9646,10,8,255,255,165950646,1631321017,121,44,0,0,11539.60747,317.14468700000003,1421928474,1421928476,177.027556,219.275,0.13823,0.093474,0.044756,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.2,1111,149.171.126.17,80,tcp,FIN,0.22773000000000002,1014,268,254,252,2,1,-,32073.06836,7868.967285,10,6,255,255,268519756,1202850116,101,45,0,0,1237.4107689999998,72.10851600000001,1421932475,1421932475,25.303333,39.401602000000004,0.06276,0.012565999999999999,0.050194,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,7.000000000000001e-06,114,0,254,0,0,0,dns,65142856.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421932544,1421932544,0.006999999999999999,0.0,0.0,0.0,0.0,0,2,0,0,0,13,13,8,7,7,4,7,Generic,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,1.1e-05,114,0,254,0,0,0,dns,41454544.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421930716,1421930716,0.011000000000000001,0.0,0.0,0.0,0.0,0,2,0,0,0,11,11,7,11,7,4,7,Generic,1
175.45.176.1,0,149.171.126.12,0,rsvp,INT,3.5e-05,200,0,254,0,0,0,-,114285712.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930724,1421930724,0.006999999999999999,0.0,0.0,0.0,0.0,0,2,0,0,0,12,12,6,6,6,6,6,Exploits,1
175.45.176.1,0,149.171.126.12,0,unas,INT,1.9e-05,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930745,1421930745,0.008,0.0,0.0,0.0,0.0,0,2,0,0,0,10,10,4,11,4,4,4,DoS,1
175.45.176.1,31165,149.171.126.19,25,tcp,FIN,0.798433,2784,1908,62,252,7,8,smtp,26501.91016,18165.58203,20,20,255,255,3811812064,2705645761,139,95,0,0,1989.9867789999998,46.441098,1421928977,1421928977,42.022788,41.650949,0.051307000000000005,0.006364,0.044943000000000004,0,1,0,0,0,2,1,1,1,1,1,1,Exploits,1
175.45.176.1,1043,149.171.126.18,53,udp,INT,1.1e-05,114,0,254,0,0,0,dns,41454544.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421932224,1421932224,0.011000000000000001,0.0,0.0,0.0,0.0,0,2,0,0,0,6,6,3,3,3,3,3,Generic,1
175.45.176.1,1043,149.171.126.18,53,udp,INT,1.1e-05,114,0,254,0,0,0,dns,41454544.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421933540,1421933540,0.011000000000000001,0.0,0.0,0.0,0.0,0,2,0,0,0,7,7,3,3,3,3,3,Generic,1
175.45.176.1,1043,149.171.126.18,53,udp,INT,7.000000000000001e-06,114,0,254,0,0,0,dns,65142856.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421931959,1421931959,0.006999999999999999,0.0,0.0,0.0,0.0,0,2,0,0,0,10,10,7,7,7,3,7,Generic,1
175.45.176.1,0,149.171.126.12,0,ddx,INT,1e-05,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930715,1421930715,0.003,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,6,6,6,6,6,DoS,1
175.45.176.1,1043,149.171.126.18,53,udp,INT,1.1e-05,114,0,254,0,0,0,dns,41454544.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421932567,1421932567,0.011000000000000001,0.0,0.0,0.0,0.0,0,2,0,0,0,16,16,5,5,4,3,5,Generic,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,5e-06,114,0,254,0,0,0,dns,91200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421930945,1421930945,0.005,0.0,0.0,0.0,0.0,0,2,0,0,0,12,12,7,7,7,4,7,Generic,1
